timestamp,user_id,doc_id,emg_wrist_rms,emg_arm_rms,emg_ratio,emg_burst_count,accel_mag_mean,accel_mag_std,rigid
2025-10-23T01:24:18.141372Z,synthetic_user_21,synthetic_doc_000026,1.1373,3.0473,0.3732,6,0.0106,0.032,1
2025-10-22T19:02:43.141372Z,synthetic_user_14,synthetic_doc_000027,0.4256,0.0921,4.6214,3,0.8186,0.3924,0
2025-10-23T05:35:02.141372Z,synthetic_user_19,synthetic_doc_000028,0.244,0.748,0.3263,1,0.3506,0.2572,0
2025-10-22T22:18:23.141372Z,synthetic_user_9,synthetic_doc_000029,0.6457,1.0597,0.6093,3,1.3366,0.6973,0
2025-10-23T11:04:52.141372Z,synthetic_user_18,synthetic_doc_000030,0.269,0.1079,2.4942,1,0.6099,0.3919,0
2025-10-23T05:03:00.141372Z,synthetic_user_2,synthetic_doc_000031,2.8191,2.8859,0.9769,2,0.293,0.0962,1
2025-10-22T15:56:48.141372Z,synthetic_user_14,synthetic_doc_000032,0.1932,1.1813,0.1636,0,0.3839,0.4732,0
2025-10-22T14:03:24.141372Z,synthetic_user_23,synthetic_doc_000033,0.7154,1.0509,0.6808,0,0.6771,0.5355,0
2025-10-22T18:15:17.141372Z,synthetic_user_21,synthetic_doc_000034,0.4265,0.2872,1.4853,2,0.9371,0.2882,0
2025-10-22T18:31:53.141372Z,synthetic_user_15,synthetic_doc_000035,2.0686,1.3259,1.5601,10,0.2199,0.2347,1
2025-10-23T00:02:06.141372Z,synthetic_user_46,synthetic_doc_000036,2.1278,1.4344,1.4834,10,0.2684,0.216,1
2025-10-22T22:00:43.141372Z,synthetic_user_39,synthetic_doc_000037,0.528,0.8094,0.6524,2,1.4752,0.2346,0
2025-10-22T13:11:06.141372Z,synthetic_user_39,synthetic_doc_000038,2.1922,1.9607,1.1181,10,0.4228,0.0763,1
2025-10-23T05:31:52.141372Z,synthetic_user_3,synthetic_doc_000039,0.2568,0.3505,0.7329,1,0.9875,0.1858,0
2025-10-22T12:37:31.141372Z,synthetic_user_46,synthetic_doc_000040,0.3664,0.8072,0.454,1,0.2694,0.5597,0
2025-10-23T00:55:25.141372Z,synthetic_user_28,synthetic_doc_000041,0.6008,0.3739,1.607,3,0.4958,0.2127,0
2025-10-23T06:18:46.141372Z,synthetic_user_39,synthetic_doc_000042,2.9724,1.2573,2.3641,2,0.1799,0.2594,1
2025-10-23T07:35:00.141372Z,synthetic_user_25,synthetic_doc_000043,0.6782,0.7348,0.9229,2,1.0425,0.3405,0
2025-10-22T14:47:16.141372Z,synthetic_user_48,synthetic_doc_000044,0.4453,0.4931,0.9031,2,0.4519,0.2061,0
2025-10-23T10:50:07.141372Z,synthetic_user_25,synthetic_doc_000045,0.3537,0.9067,0.3901,3,1.0299,0.6731,0
2025-10-22T23:38:57.141372Z,synthetic_user_47,synthetic_doc_000046,0.689,0.8474,0.813,0,0.4232,0.4681,0
2025-10-22T11:44:51.141372Z,synthetic_user_17,synthetic_doc_000047,1.5404,2.2383,0.6882,7,0.2955,0.2485,1
2025-10-22T22:52:11.141372Z,synthetic_user_3,synthetic_doc_000048,0.3734,1.0136,0.3684,1,0.234,0.0584,0
2025-10-22T17:50:55.141372Z,synthetic_user_9,synthetic_doc_000049,2.701,1.0738,2.5154,6,0.3941,0.0603,1
2025-10-22T19:03:48.141372Z,synthetic_user_9,synthetic_doc_000050,3.4665,3.2245,1.0751,3,0.0347,0.1381,1
2025-10-22T17:11:47.141372Z,synthetic_user_44,synthetic_doc_000051,0.0908,1.0618,0.0855,1,0.3057,0.1308,0
2025-10-23T03:10:37.141372Z,synthetic_user_21,synthetic_doc_000052,0.2128,0.7377,0.2885,2,1.2225,0.4418,0
2025-10-22T17:52:24.141372Z,synthetic_user_2,synthetic_doc_000053,0.2386,0.6615,0.3607,0,1.0604,0.3848,0
2025-10-22T18:31:27.141372Z,synthetic_user_47,synthetic_doc_000054,0.1264,0.043,2.9429,0,1.1542,0.6839,0
2025-10-23T05:58:02.141372Z,synthetic_user_37,synthetic_doc_000055,0.101,1.0107,0.0999,1,1.3085,0.6117,0
2025-10-23T07:03:11.142401Z,synthetic_user_42,synthetic_doc_000056,0.7038,0.3307,2.128,3,1.402,0.2299,0
2025-10-23T07:17:49.142401Z,synthetic_user_1,synthetic_doc_000057,0.4617,0.8939,0.5165,0,1.1365,0.1246,0
2025-10-22T22:11:23.142401Z,synthetic_user_20,synthetic_doc_000058,0.6382,0.8488,0.752,2,0.9773,0.4499,0
2025-10-23T10:15:44.142401Z,synthetic_user_17,synthetic_doc_000059,0.6803,0.5069,1.342,0,1.3161,0.3824,0
2025-10-23T03:56:35.142401Z,synthetic_user_34,synthetic_doc_000060,1.08,2.8198,0.383,4,0.0234,0.171,1
2025-10-22T22:02:49.142401Z,synthetic_user_44,synthetic_doc_000061,0.681,0.6558,1.0384,3,0.8449,0.3595,0
2025-10-23T00:57:52.142401Z,synthetic_user_38,synthetic_doc_000062,1.6807,1.7584,0.9558,2,0.0575,0.0462,1
2025-10-22T19:51:00.142401Z,synthetic_user_39,synthetic_doc_000063,0.1742,0.5687,0.3063,2,1.009,0.4683,0
2025-10-23T05:12:08.142401Z,synthetic_user_18,synthetic_doc_000064,3.3567,3.2728,1.0256,8,0.1713,0.1765,1
2025-10-22T17:45:06.142401Z,synthetic_user_34,synthetic_doc_000065,0.2714,0.3815,0.7115,3,0.4903,0.2929,0
2025-10-22T11:35:38.142401Z,synthetic_user_50,synthetic_doc_000066,0.5155,0.5327,0.9676,0,0.6478,0.1223,0
2025-10-22T15:18:00.142401Z,synthetic_user_33,synthetic_doc_000067,0.3476,0.8006,0.4341,1,1.0471,0.4105,0
2025-10-22T11:29:11.142401Z,synthetic_user_16,synthetic_doc_000068,0.4876,0.0276,17.6837,1,0.3613,0.1478,0
2025-10-23T07:03:37.142401Z,synthetic_user_20,synthetic_doc_000069,0.0884,0.3587,0.2465,0,1.0894,0.6574,0
2025-10-23T03:28:34.142401Z,synthetic_user_36,synthetic_doc_000070,0.4419,1.0658,0.4146,2,0.7828,0.3993,0
2025-10-23T00:31:05.142401Z,synthetic_user_39,synthetic_doc_000071,0.2029,0.4172,0.4865,1,0.4345,0.273,0
2025-10-23T10:46:26.142401Z,synthetic_user_36,synthetic_doc_000072,0.2235,0.2365,0.9448,2,1.217,0.2292,0
2025-10-23T05:22:47.142401Z,synthetic_user_33,synthetic_doc_000073,1.2455,2.3635,0.527,4,0.0636,0.1127,1
2025-10-22T20:51:06.142401Z,synthetic_user_12,synthetic_doc_000074,0.7913,0.6564,1.2055,1,1.44,0.2494,0
2025-10-23T08:28:19.142401Z,synthetic_user_6,synthetic_doc_000075,3.4839,2.7112,1.285,5,0.0549,0.2966,1
2025-10-23T01:51:16.142401Z,synthetic_user_9,synthetic_doc_000076,0.3456,0.7091,0.4875,1,0.5322,0.4845,0
2025-10-22T13:55:57.142401Z,synthetic_user_13,synthetic_doc_000077,0.3401,0.8306,0.4095,3,0.4256,0.1613,0
2025-10-22T21:59:22.142401Z,synthetic_user_6,synthetic_doc_000078,0.3092,0.6529,0.4736,3,0.9267,0.4625,0
2025-10-23T10:22:41.142401Z,synthetic_user_48,synthetic_doc_000079,0.719,0.1014,7.0918,0,0.7784,0.296,0
2025-10-23T03:52:59.142401Z,synthetic_user_18,synthetic_doc_000080,0.5906,0.8897,0.6638,1,1.2395,0.0665,0
2025-10-22T13:08:01.142401Z,synthetic_user_5,synthetic_doc_000081,0.276,0.1838,1.5015,3,0.5113,0.5598,0
2025-10-23T08:39:31.142401Z,synthetic_user_40,synthetic_doc_000082,0.6064,1.1593,0.5231,0,0.5648,0.3833,0
2025-10-23T02:31:04.142401Z,synthetic_user_43,synthetic_doc_000083,0.6108,0.9652,0.6329,1,0.3767,0.6348,0
2025-10-23T09:00:31.142401Z,synthetic_user_34,synthetic_doc_000084,0.6281,0.8756,0.7173,1,1.4656,0.2751,0
2025-10-22T18:16:56.142401Z,synthetic_user_38,synthetic_doc_000085,2.3768,3.9115,0.6076,8,0.083,0.0652,1
2025-10-23T05:35:37.142401Z,synthetic_user_28,synthetic_doc_000086,0.3959,0.9855,0.4018,3,0.6288,0.3767,0
2025-10-22T18:36:13.142401Z,synthetic_user_43,synthetic_doc_000087,0.4737,0.9111,0.5199,3,1.3173,0.336,0
2025-10-22T19:19:13.142401Z,synthetic_user_38,synthetic_doc_000088,0.365,0.9725,0.3753,0,0.5697,0.2078,0
2025-10-22T19:27:36.142401Z,synthetic_user_41,synthetic_doc_000089,3.0723,3.3061,0.9293,2,0.4412,0.296,1
2025-10-23T02:19:58.142401Z,synthetic_user_7,synthetic_doc_000090,1.2924,3.1844,0.4058,3,0.3106,0.2197,1
2025-10-22T19:17:42.142401Z,synthetic_user_6,synthetic_doc_000091,0.1527,0.4534,0.3369,0,0.6251,0.3619,0
2025-10-22T20:08:35.142401Z,synthetic_user_19,synthetic_doc_000092,0.6645,0.2403,2.7659,3,1.1268,0.3302,0
2025-10-23T09:53:50.142401Z,synthetic_user_18,synthetic_doc_000093,1.9823,1.8641,1.0634,2,0.0772,0.2882,1
2025-10-23T05:08:50.142401Z,synthetic_user_45,synthetic_doc_000094,0.2279,0.7243,0.3147,3,1.1881,0.1254,0
2025-10-22T13:43:35.142401Z,synthetic_user_6,synthetic_doc_000095,0.6443,0.2371,2.7171,1,1.2768,0.2581,0
2025-10-22T18:12:45.142401Z,synthetic_user_5,synthetic_doc_000096,0.0669,0.798,0.0838,3,1.116,0.5445,0
2025-10-22T21:48:00.142401Z,synthetic_user_3,synthetic_doc_000097,0.6552,0.3951,1.6582,0,1.4383,0.1125,0
2025-10-23T09:19:52.142401Z,synthetic_user_26,synthetic_doc_000098,0.7503,0.3087,2.4305,2,0.4651,0.1035,0
2025-10-23T03:24:02.142401Z,synthetic_user_27,synthetic_doc_000099,0.2554,1.0518,0.2428,3,1.0654,0.3362,0
2025-10-23T04:51:28.142401Z,synthetic_user_26,synthetic_doc_000100,0.7462,0.147,5.0753,2,0.6178,0.6584,0
2025-10-22T13:39:15.142401Z,synthetic_user_45,synthetic_doc_000101,0.7675,1.0491,0.7315,2,1.2391,0.4295,0
2025-10-22T22:31:21.142401Z,synthetic_user_50,synthetic_doc_000102,1.9343,3.5857,0.5395,8,0.3433,0.2226,1
2025-10-22T23:34:34.142401Z,synthetic_user_47,synthetic_doc_000103,2.4108,2.2867,1.0543,9,0.2526,0.1799,1
2025-10-23T01:14:29.142401Z,synthetic_user_21,synthetic_doc_000104,0.1367,0.8569,0.1595,2,1.0142,0.2017,0
2025-10-23T07:12:49.142401Z,synthetic_user_46,synthetic_doc_000105,0.1483,0.8877,0.1671,1,0.9843,0.2966,0
2025-10-23T05:23:26.142401Z,synthetic_user_36,synthetic_doc_000106,2.8419,1.5848,1.7933,5,0.3548,0.2972,1
2025-10-22T23:22:15.142401Z,synthetic_user_14,synthetic_doc_000107,0.0668,0.6023,0.111,2,1.3556,0.5791,0
2025-10-22T19:53:31.142401Z,synthetic_user_43,synthetic_doc_000108,0.1158,0.2354,0.492,2,0.7507,0.505,0
2025-10-23T04:24:50.142401Z,synthetic_user_23,synthetic_doc_000109,2.4648,3.2705,0.7536,7,0.0916,0.0272,1
2025-10-23T11:02:02.142401Z,synthetic_user_41,synthetic_doc_000110,0.228,1.0396,0.2193,1,0.6702,0.4558,0
2025-10-23T03:16:18.142401Z,synthetic_user_16,synthetic_doc_000111,0.6709,0.9236,0.7264,2,1.4997,0.148,0
2025-10-22T18:04:26.142401Z,synthetic_user_7,synthetic_doc_000112,0.0974,0.0256,3.8094,2,0.6781,0.5033,0
2025-10-22T21:42:29.142401Z,synthetic_user_38,synthetic_doc_000113,0.3065,1.1367,0.2696,1,0.8022,0.1593,0
2025-10-22T17:38:03.142401Z,synthetic_user_48,synthetic_doc_000114,1.7852,3.4264,0.521,9,0.1358,0.0746,1
2025-10-22T15:58:19.142401Z,synthetic_user_48,synthetic_doc_000115,0.0262,0.8286,0.0316,1,1.277,0.3909,0
2025-10-22T17:15:08.142401Z,synthetic_user_17,synthetic_doc_000116,1.3065,1.6871,0.7744,8,0.4433,0.281,1
2025-10-23T00:04:14.142401Z,synthetic_user_13,synthetic_doc_000117,0.3738,0.9536,0.392,1,0.8956,0.6654,0
2025-10-23T04:30:54.142401Z,synthetic_user_37,synthetic_doc_000118,1.9251,2.1815,0.8824,3,0.4925,0.0165,1
2025-10-23T11:05:58.142401Z,synthetic_user_16,synthetic_doc_000119,2.5341,3.5005,0.7239,9,0.4931,0.0391,1
2025-10-22T20:00:50.142401Z,synthetic_user_34,synthetic_doc_000120,0.1601,0.3031,0.5281,0,0.3216,0.333,0
2025-10-23T00:00:25.142401Z,synthetic_user_20,synthetic_doc_000121,0.4252,0.6045,0.7034,1,0.5696,0.6792,0
2025-10-23T11:00:58.142401Z,synthetic_user_14,synthetic_doc_000122,0.2288,0.2971,0.7702,2,0.6888,0.2489,0
2025-10-23T00:00:49.142401Z,synthetic_user_49,synthetic_doc_000123,0.6862,0.6191,1.1083,3,1.264,0.168,0
2025-10-23T04:04:21.142401Z,synthetic_user_18,synthetic_doc_000124,3.0101,1.7858,1.6855,7,0.0413,0.037,1
2025-10-22T18:57:45.142401Z,synthetic_user_3,synthetic_doc_000125,0.4507,0.9989,0.4512,2,0.4022,0.3254,0
2025-10-23T07:42:41.142401Z,synthetic_user_21,synthetic_doc_000126,0.1212,0.0843,1.4366,3,1.4275,0.0911,0
2025-10-22T20:46:40.142401Z,synthetic_user_15,synthetic_doc_000127,0.5388,0.7476,0.7207,0,0.468,0.6687,0
2025-10-23T09:15:55.142401Z,synthetic_user_46,synthetic_doc_000128,0.7414,0.0836,8.8725,2,0.8249,0.1376,0
2025-10-23T02:19:37.142401Z,synthetic_user_1,synthetic_doc_000129,2.4002,1.9659,1.221,9,0.4589,0.2934,1
2025-10-22T23:46:00.142401Z,synthetic_user_7,synthetic_doc_000130,2.6751,2.1389,1.2507,3,0.297,0.2162,1
2025-10-23T01:30:45.142401Z,synthetic_user_38,synthetic_doc_000131,0.6945,0.5336,1.3017,0,0.4139,0.5888,0
2025-10-23T05:54:12.142401Z,synthetic_user_11,synthetic_doc_000132,0.4223,0.1862,2.2684,2,0.2631,0.1826,0
2025-10-23T10:19:58.142401Z,synthetic_user_50,synthetic_doc_000133,0.5223,0.9046,0.5774,2,0.6368,0.5966,0
2025-10-23T05:34:33.142401Z,synthetic_user_22,synthetic_doc_000134,0.1076,0.285,0.3775,0,0.8393,0.4262,0
2025-10-23T06:14:15.142401Z,synthetic_user_15,synthetic_doc_000135,0.5166,0.31,1.6664,2,0.493,0.6033,0
2025-10-22T19:32:03.142401Z,synthetic_user_43,synthetic_doc_000136,0.1959,0.0255,7.6676,1,1.0353,0.4938,0
2025-10-22T22:55:48.142401Z,synthetic_user_45,synthetic_doc_000137,2.6533,1.736,1.5284,6,0.2084,0.2856,1
2025-10-23T09:03:09.142401Z,synthetic_user_31,synthetic_doc_000138,0.8975,1.4628,0.6136,10,0.074,0.2112,1
2025-10-23T01:11:19.142401Z,synthetic_user_41,synthetic_doc_000139,0.1243,0.6448,0.1928,1,0.6682,0.1893,0
2025-10-23T10:43:35.142401Z,synthetic_user_20,synthetic_doc_000140,0.773,0.301,2.5681,0,0.3322,0.316,0
2025-10-23T09:00:49.142401Z,synthetic_user_1,synthetic_doc_000141,0.2511,0.3009,0.8345,1,0.7454,0.3102,0
2025-10-22T22:40:13.142401Z,synthetic_user_22,synthetic_doc_000142,0.7451,1.1601,0.6423,3,0.6198,0.1007,0
2025-10-23T04:11:28.142401Z,synthetic_user_8,synthetic_doc_000143,0.4683,0.9733,0.4812,3,1.1198,0.0699,0
2025-10-23T02:59:32.142401Z,synthetic_user_37,synthetic_doc_000144,0.2195,0.762,0.288,3,0.5746,0.3243,0
2025-10-23T00:16:01.142401Z,synthetic_user_40,synthetic_doc_000145,2.0702,3.6707,0.564,10,0.1573,0.0087,1
2025-10-22T18:38:45.142401Z,synthetic_user_27,synthetic_doc_000146,3.0027,2.6107,1.1501,4,0.0993,0.2326,1
2025-10-23T04:16:43.142401Z,synthetic_user_39,synthetic_doc_000147,2.2284,3.5498,0.6278,3,0.3272,0.004,1
2025-10-22T23:50:35.142401Z,synthetic_user_19,synthetic_doc_000148,0.7568,1.1533,0.6562,3,0.4565,0.3157,0
2025-10-23T08:10:35.142401Z,synthetic_user_18,synthetic_doc_000149,0.2257,0.9766,0.2311,1,0.6007,0.3538,0
2025-10-22T15:26:50.142401Z,synthetic_user_37,synthetic_doc_000150,2.2871,2.0186,1.133,5,0.0614,0.0651,1
2025-10-22T18:42:24.142401Z,synthetic_user_13,synthetic_doc_000151,2.0426,1.7652,1.1571,2,0.2548,0.1209,1
2025-10-22T21:40:57.142401Z,synthetic_user_35,synthetic_doc_000152,0.1643,0.5114,0.3213,2,1.3915,0.3104,0
2025-10-22T14:36:52.142401Z,synthetic_user_29,synthetic_doc_000153,0.0211,0.9266,0.0228,2,0.8119,0.4518,0
2025-10-22T17:11:55.142401Z,synthetic_user_37,synthetic_doc_000154,0.0959,0.2279,0.4207,1,0.5288,0.6386,0
2025-10-22T23:39:31.142401Z,synthetic_user_10,synthetic_doc_000155,0.2326,0.598,0.3889,1,0.4685,0.3783,0
2025-10-22T22:15:15.142401Z,synthetic_user_30,synthetic_doc_000156,0.7183,0.8688,0.8268,2,1.2285,0.1937,0
2025-10-22T17:35:47.142401Z,synthetic_user_26,synthetic_doc_000157,0.0732,0.754,0.0971,0,0.2173,0.2806,0
2025-10-22T20:02:46.142401Z,synthetic_user_17,synthetic_doc_000158,0.221,0.3338,0.6621,0,0.55,0.5801,0
2025-10-22T16:28:50.142401Z,synthetic_user_20,synthetic_doc_000159,0.3509,0.3911,0.897,1,0.6787,0.6735,0
2025-10-23T00:47:48.142401Z,synthetic_user_13,synthetic_doc_000160,0.6789,0.6989,0.9714,1,1.4719,0.4774,0
2025-10-23T09:50:30.142401Z,synthetic_user_49,synthetic_doc_000161,2.2773,3.1685,0.7187,5,0.1319,0.1626,1
2025-10-23T10:18:09.142401Z,synthetic_user_22,synthetic_doc_000162,0.0328,0.9419,0.0348,1,0.3352,0.2421,0
2025-10-23T01:10:03.142401Z,synthetic_user_1,synthetic_doc_000163,0.5777,0.9864,0.5857,3,1.2676,0.5775,0
2025-10-23T09:48:20.142401Z,synthetic_user_19,synthetic_doc_000164,0.5998,0.8657,0.6929,1,1.0897,0.1409,0
2025-10-22T12:02:02.142401Z,synthetic_user_50,synthetic_doc_000165,0.896,1.9273,0.4649,3,0.1116,0.2557,1
2025-10-23T05:52:23.142401Z,synthetic_user_13,synthetic_doc_000166,0.7551,0.1929,3.9141,0,0.3839,0.3167,0
2025-10-23T07:34:45.142401Z,synthetic_user_24,synthetic_doc_000167,1.2471,3.1348,0.3978,8,0.4908,0.1532,1
2025-10-22T16:40:51.142401Z,synthetic_user_40,synthetic_doc_000168,0.5873,0.0677,8.6724,2,0.4944,0.2641,0
2025-10-22T18:09:48.142401Z,synthetic_user_2,synthetic_doc_000169,0.2277,0.6662,0.3418,0,1.4421,0.1418,0
2025-10-23T06:56:50.142401Z,synthetic_user_24,synthetic_doc_000170,0.5561,0.689,0.8072,1,0.7424,0.4441,0
2025-10-22T17:16:03.142401Z,synthetic_user_19,synthetic_doc_000171,0.0199,0.1675,0.119,3,0.8276,0.4473,0
2025-10-23T03:48:06.142401Z,synthetic_user_12,synthetic_doc_000172,0.7773,1.1228,0.6923,1,1.1548,0.1053,0
2025-10-22T21:26:13.142401Z,synthetic_user_49,synthetic_doc_000173,0.1335,0.2617,0.5099,1,0.2652,0.1725,0
2025-10-22T12:15:12.142401Z,synthetic_user_45,synthetic_doc_000174,1.6294,1.8728,0.8701,2,0.2001,0.2043,1
2025-10-22T15:36:26.142401Z,synthetic_user_30,synthetic_doc_000175,0.1558,0.0812,1.9182,1,0.3487,0.6221,0
2025-10-23T06:58:19.142401Z,synthetic_user_33,synthetic_doc_000176,3.154,3.8447,0.8203,6,0.4125,0.2762,1
2025-10-22T14:13:10.142401Z,synthetic_user_1,synthetic_doc_000177,0.4537,0.2619,1.7327,1,1.1479,0.0706,0
2025-10-22T16:23:05.142401Z,synthetic_user_40,synthetic_doc_000178,0.5022,0.2014,2.4933,0,0.7998,0.1341,0
2025-10-22T19:42:37.143914Z,synthetic_user_21,synthetic_doc_000179,0.9487,1.4728,0.6441,2,0.4816,0.1471,1
2025-10-22T15:52:00.143914Z,synthetic_user_28,synthetic_doc_000180,0.38,0.5566,0.6828,0,1.1681,0.4325,0
2025-10-23T03:36:02.143914Z,synthetic_user_31,synthetic_doc_000181,3.1748,1.2017,2.6419,7,0.0529,0.2951,1
2025-10-23T00:20:24.143914Z,synthetic_user_34,synthetic_doc_000182,0.4951,0.0569,8.7073,2,1.0456,0.3576,0
2025-10-23T04:48:40.143914Z,synthetic_user_19,synthetic_doc_000183,0.5744,0.1906,3.0137,3,1.1712,0.19,0
2025-10-22T17:56:31.143914Z,synthetic_user_45,synthetic_doc_000184,0.6176,0.4307,1.434,0,1.3777,0.2497,0
2025-10-23T09:51:33.143914Z,synthetic_user_45,synthetic_doc_000185,0.7995,0.6776,1.1799,0,0.3494,0.3835,0
2025-10-22T11:24:47.143914Z,synthetic_user_37,synthetic_doc_000186,2.9788,2.6628,1.1187,8,0.2281,0.1859,1
2025-10-22T13:08:45.143914Z,synthetic_user_23,synthetic_doc_000187,0.1873,0.0259,7.2273,0,0.4618,0.1933,0
2025-10-23T01:37:50.143914Z,synthetic_user_50,synthetic_doc_000188,2.1987,3.1724,0.6931,2,0.2853,0.0782,1
2025-10-22T23:11:31.143914Z,synthetic_user_19,synthetic_doc_000189,1.4289,1.0356,1.3797,5,0.0779,0.1925,1
2025-10-22T22:29:12.143914Z,synthetic_user_29,synthetic_doc_000190,2.1908,3.5565,0.616,10,0.1231,0.2729,1
2025-10-22T14:20:16.143914Z,synthetic_user_24,synthetic_doc_000191,3.2051,1.0412,3.0782,2,0.4061,0.2636,1
2025-10-22T15:25:09.143914Z,synthetic_user_2,synthetic_doc_000192,0.0378,0.0827,0.4568,0,0.2433,0.6742,0
2025-10-22T15:02:22.143914Z,synthetic_user_41,synthetic_doc_000193,0.0745,0.9008,0.0827,3,0.6413,0.3863,0
2025-10-22T19:12:41.143914Z,synthetic_user_45,synthetic_doc_000194,1.4651,1.6073,0.9115,7,0.0104,0.2932,1
2025-10-23T03:49:13.143914Z,synthetic_user_32,synthetic_doc_000195,0.4257,0.3129,1.3604,1,0.5138,0.5746,0
2025-10-23T01:59:56.143914Z,synthetic_user_44,synthetic_doc_000196,0.691,0.6709,1.03,1,0.2453,0.3284,0
2025-10-23T03:59:22.143914Z,synthetic_user_26,synthetic_doc_000197,2.2445,2.7289,0.8225,9,0.1385,0.2554,1
2025-10-22T21:37:09.143914Z,synthetic_user_1,synthetic_doc_000198,0.1201,1.0811,0.1111,2,1.3183,0.4096,0
2025-10-22T22:30:00.143914Z,synthetic_user_8,synthetic_doc_000199,0.4125,0.4716,0.8747,2,0.3374,0.3097,0
